Name,Followers,Category,Emails,Links,City,State
Beastfit Performance Fitness,449,Fitness Studio,beasfitperformance@gmail.com,https://www.facebook.com/beastfitperformance/about/?referrer=services_landing_page,na,california
Beastfit Performance Fitness,449,Fitness Studio,BeasfitPerformance@gmail.com,https://www.facebook.com/beastfitperformance/,Salinas,CA
It's Yoga Time,444,Fitness Studio,itsyogatimesalinas@gmail.com,https://www.facebook.com/itsyogatimesalinas/,Salinas,CA
MXN Boxing Center,663,Fitness Studio,mxnboxingcenter@gmail.com,https://www.facebook.com/MXNBoxingCenter/about/,na,california
Golden State Elite Cheer & Dance,1K,Fitness Studio,gsecheeranddance@gmail.com,https://www.facebook.com/p/Golden-State-Elite-Cheer-Dance-100063777693632/,Salinas,CA
VIP Wellfit.com,190,Fitness Studio,vipwellfit@gmail.com,https://www.facebook.com/VIP-Wellfitcom-679466772097231/,Salinas,CA
Korean Martial Arts Academy Salinas,882,Fitness Studio,hemorrison10@gmail.com,https://www.facebook.com/kmaasalinas/,na,california
Golden Dragon Martial Arts Fitness Programs,127,Fitness Studio,goldendragonmartialarts@gmail.com,https://www.facebook.com/GoldenDragonMartialArtsFitnessPrograms/,Aptos,CA
Iriye Sports Performance,58,Fitness Studio,ciriyefitness@gmail.com,https://www.facebook.com/p/Iriye-Sports-Performance-100054245600716/,Tulare,CA
The Gams Afoot - Dance Company,225,Fitness Studio,gamsafoot@gmail.com,https://www.facebook.com/thegamsafoot/,Salinas,CA
Yoga4Wellness With Seema Mangla,4K,fitness studio,seema.mangla00@gmail.com,https://www.facebook.com/people/Yoga4Wellness-With-Seema-Mangla/100063945394219/,Cupertino,CA
East West Yoga,418,fitness studio,cupertinoyoga@gmail.com,https://www.facebook.com/cupertinoyoga/,Cupertino,CA
NDC Dance Studio,863,fitness studio,nrityakalyadance@gmail.com,https://www.facebook.com/NrityakalyaDanceCompany/,Cupertino,CA
SOL Studios,112,fitness studio,Solstudiosllc@gmail.com,https://www.facebook.com/solstudiosllc/,Fremont,CA
Ebb and Flow Yoga and Pilates,na,fitness studio,carissayogapilates@gmail.com,https://www.facebook.com/CarissaYogaInstructor/,na,california
"Hua ""Maggie"" Li - Realtor",109,fitness studio,MaggieLiRE@gmail.com,https://www.facebook.com/MaggieLiRealtor/,Cupertino,CA
Kashif Husain,495,fitness studio,Realty@gmail.com,https://www.facebook.com/Husainrealty/,Cupertino,CA
El Estoque Online,3K,fitness studio,mv.el.estoque@gmail.com,https://www.facebook.com/elestoqueonline/,Cupertino,CA
Take the Challenge with the Vi Squad,238,fitness studio,jecabral11@gmail.com,https://www.facebook.com/GlobalShakers/,na,california
Nikki Lian,284,fitness studio,nikkilianfit@gmail.com,https://www.facebook.com/nikkilianfit/,na,california
scraptime_kidgloves,438,fitness studio,Scrappum@gmail.com,https://www.facebook.com/profile.php?id=100054368987772,Simi Valley,CA
See Me Healthy,2K,fitness studio,seemehealthy@gmail.com,https://www.facebook.com/seemehealthy/,Simi Valley,CA
Inspire Dance Studio,289,fitness studio,inspiredancestudio1555@gmail.com,https://www.facebook.com/inspiredancestudiosimivalley/,Simi Valley,CA
Simi Valley Mompreneurs,374,fitness studio,svmombiz@gmail.com,https://www.facebook.com/people/Simi-Valley-Mompreneurs/100063578498609/,na,california
Sky Martial Arts Simi Valley,632,fitness studio,skymartialartssimi@gmail.com,https://www.facebook.com/skymartialartssimivalley/,na,california
Simi Is Home,108,fitness studio,kengrech1@gmail.com,https://www.facebook.com/SimiIsHome/,na,california
The Best Trainers In The Valley,28,fitness studio,zzofit13@gmail.com,https://www.facebook.com/BestTrainersInStudioCity/,Los Angeles,CA
Charming Farming Goats,9K,fitness studio,charmingfarminggoats@gmail.com,https://www.facebook.com/charmingfarminggoats/,Simi Valley,CA
Sublime Lit Wicks,140,fitness studio,sublimelitwicks@gmail.com,https://www.facebook.com/SublimeLitWicks/,Simi Valley,CA
Elite Fitness,393,fitness studio,elitefitness2003@gmail.com,https://www.facebook.com/EliteFitnessSouthbay/,Torrance,CA
End Results Fitness,885,fitness studio,endresultscurtis@gmail.com,https://www.facebook.com/EndResultsFitness/,Torrance,CA
Venatõr Athletics,1K,fitness studio,Elitefitness2003@gmail.com,https://www.facebook.com/VenatorAthletics/,Torrance,CA
Terrence Cruz Fitness,10,fitness studio,terrencecruz@gmail.com,https://www.facebook.com/terrencecruzfitness/,Torrance,CA
Elite Triangle Fitness,612,fitness studio,sanpedrotrainer@gmail.com,https://www.facebook.com/EliteTriangleFitness/about/?ref=page_internal,na,california
SuperKids Gym and Dance,205,fitness studio,superkidsgym@gmail.com,https://www.facebook.com/p/SuperKids-Gym-and-Dance-100063281224907/,Torrance,CA
Inspire South Bay Fitness,411,fitness studio,peetfit@gmail.com,https://www.facebook.com/inspiresouthbay/,Redondo Beach,CA
South Bay Pain and Wellness,205,fitness studio,misazaker@gmail.com,https://www.facebook.com/sbpainandwellness/,Torrance,CA
