Company Name,Brand,Website,Domain
AdPlus National TV Production, AdPlus, adplus.tv,@adplus.tv
Basecamp Productions, Basecamp, www.basecampproductions.com,@basecampproductions.com
Kaufman Films, Kaufman, www.kaufmanfilm.com,@kaufmanfilm.com
Tosi Agency, Tosi, tosient.com,@tosient.com
Make it Pop Productions, Make it Pop, www.makeitpopproductions.com,@makeitpopproductions.com
Garber & Co., Garber, www.garberco.com,@garberco.com
RIVR Media, RIVR, www.rivr.tv ,@rivr.tv
3/2 Media, 3/2, www.3-2-media.com,@3-2-media.com
Plum Productions, Plum, www.plumproductions.tv,@plumproductions.tv
Harvey Lester Productions, Harvey Lester, www.harveylesterproductions.com,@harveylesterproductions.com
Cartel Media, Cartel, www.cartelmedia.net,@cartelmedia.net
WeCraft Production, WeCraft, www.wecraft.se,@wecraft.se
Alkemy X Productions, Alkemy X, www.alkemy-x.com,@alkemy-x.com
Visionary Media, Visionary, www.visionarymedia.,@visionarymedia.
Hulu, Streaming TV Commercials, www.hulu.com ,@hulu.com
YouTube, Streaming TV Commercials, www.youtube.com,@youtube.com
Vimeo, Streaming TV Commercials, www.vimeo.com,@vimeo.com
Turner Broadcasting, TV Commercial Production and Distribution, www.turner.com,@turner.com
Comcast, TV Commercial Production and Distribution, www.comcast.com ,@comcast.com
CBS, TV Commercial Production and Distribution, www.cbs.com ,@cbs.com
Univision Communications, TV Commercial Production and Distribution, www.univision.com ,@univision.com
ABC, TV Commercial Production and Distribution, www.abc.com,@abc.com
NBCUniversal, TV Commercial Production and Distribution, www.nbcuniversal.com ,@nbcuniversal.com
ITN Productions, TV Commercial Production, www.itnproductions.com ,@itnproductions.com
Valnet Inc, TV Commercial Production and Placement, www.valnetinc.com ,@valnetinc.com
Shine Advertising, TV Commercial Production, www.shinead.com ,@shinead.com
Mediacom Worldwide, TV Commercial Production and Placement, www.mediacomworldwide.,@mediacomworldwide.
Goodman Media International, Advertising, http://www.goodmanmedia.com/,@goodmanmedia.com
Edelman, PR Agency, https://www.edelman.com/,@edelman.com
Leo Burnett, Advertising, https://www.leoburnett.com/,@leoburnett.com
Draftfcb, Advertising, https://www.draftfcb.com/global/,@draftfcb.com
Weber Shandwick, PR Agency, http://www.webershandwick.com/,@webershandwick.com
Rapp Collins, Direct Mail Advertising, https://www.rappcollins.com/,@rappcollins.com
Hill Holiday, Advertising, http://www.hhcc.com/,@hhcc.com
Ideaology, Branding &amp;amp;amp; Strategy, http://www.ideaology.co.za/,@ideaology.co.za
BBDO, Advertising, www.bbdo.com,@bbdo.com
South Beach Advertising, TV Advertising, http://southbeachadv.com/,@southbeachadv.com
Havas Media, Brand Solutions, https://www.havas.com/en/media,@havas.com
AMC Advertising, Broadcast TV &amp;amp;amp;amp; Radio Advertising, http://www.amcad.com/,@amcad.com
Merkle, Creative Advertising &amp;amp;amp;amp; Media, https://www.merkleinc.com/,@merkleinc.com
Makeable, Digital Advertising &amp;amp;amp;amp; Marketing Agency, https://www.makeable.co/,@makeable.co
Blue 449, Media Agency, https://blue449.com/,@blue449.com
Horizon Media, Broadcasting &amp;amp;amp;amp; Media Production, https://www.horizonmedia.com/,@horizonmedia.com
Starcom, Media Investment Management, https://www.starcomww.com/,@starcomww.com
MediaCom, Connecting Consumers &amp;amp;amp;amp; Brands, https://www.mediacom.com/,@mediacom.com
Huge, Creative Agency, https://www.hugeinc.com/,@hugeinc.com
Essence, Digital Media Agency, https://www.essencedigital.com/,@essencedigital.com
iHeart Media, Radio Stations &amp;amp;amp;amp; Platforms, https://www.iheart.com/,@iheart.com
MediaVest, Media Planning &amp;amp;amp;amp; Buying Agency, http://www.mediarvestgroup.com/,@mediarvestgroup.com
